gene_name,logfold
COX1,0
COX2,0
COX3,0
CYTB,0
LOC111099029,-1.14707756105926
LOC111099030,0
LOC111099031,0
LOC111099032,0
LOC111099033,0.503401683236692
LOC111099034,0
LOC111099035,0.151862579765343
LOC111099036,0.506379774988911
LOC111099037,0
LOC111099038,0
LOC111099039,0
LOC111099040,-0.547352989296718
LOC111099041,0
LOC111099042,0
LOC111099043,0.358299897981777
LOC111099044,0
LOC111099045,0
LOC111099046,0
LOC111099047,1.90475773643324
LOC111099048,0
LOC111099049,0
LOC111099050,-0.314570479678592
LOC111099051,0
LOC111099052,0
LOC111099053,0.934834202093663
LOC111099054,0
LOC111099055,0.868841688038177
LOC111099056,0.868836799072231
LOC111099057,0
LOC111099058,0
LOC111099059,0
LOC111099060,1.64468998593168
LOC111099061,0
LOC111099062,0.524422408649113
LOC111099063,-0.397058044873803
LOC111099064,1.73918771575126
LOC111099065,0
LOC111099066,0
LOC111099067,-0.339211305937934
LOC111099068,0
LOC111099069,0
LOC111099070,0.894299290001624
LOC111099071,0.40915522243988
LOC111099072,0
LOC111099073,-0.543347159247953
LOC111099074,0
LOC111099075,0
LOC111099076,0.554173999205767
LOC111099077,0
LOC111099078,0
LOC111099079,-0.324591374661266
LOC111099080,1.39543765201075
LOC111099081,0.558521158855615
LOC111099082,0
LOC111099083,0
LOC111099084,0
LOC111099085,0
LOC111099086,0
LOC111099087,2.16200392653135
LOC111099088,0
LOC111099089,0
LOC111099090,0
LOC111099091,0
LOC111099092,0
LOC111099093,0
LOC111099094,0
LOC111099095,-0.770214157613381
LOC111099096,0.457475039823937
LOC111099097,0.443471918356458
LOC111099098,0
LOC111099099,0
LOC111099100,0
LOC111099101,0.0834747141933688
LOC111099102,0.155636219788117
LOC111099103,-0.842143919857341
LOC111099104,0.431742834635402
LOC111099105,2.09714373965932
LOC111099106,0.396300028128124
LOC111099107,0
LOC111099108,0.894306762700453
LOC111099109,0.604570626134973
LOC111099110,0
LOC111099111,0
LOC111099112,-0.493970349261132
LOC111099113,0.605506754683249
LOC111099114,0
LOC111099115,1.78858640472996
LOC111099116,0
LOC111099117,0
LOC111099118,0.378319896629905
LOC111099119,0
LOC111099120,1.88424702316183
LOC111099121,0
LOC111099122,0
LOC111099123,-1.70445120599198
LOC111099124,0
LOC111099125,0.208005210780089
LOC111099126,0
LOC111099127,-0.82875700288341
LOC111099128,0
LOC111099129,0
LOC111099130,0
LOC111099131,0
LOC111099132,0
LOC111099133,1.36881324942288
LOC111099134,0
LOC111099135,0
LOC111099136,0
LOC111099137,0
LOC111099138,0
LOC111099139,0
LOC111099140,0.709005766999472
LOC111099141,0
LOC111099142,0
LOC111099143,0
LOC111099144,0
LOC111099145,0
LOC111099146,0
LOC111099147,0.256353836141399
LOC111099148,0
LOC111099149,0
LOC111099150,0.291837602905908
LOC111099151,0
LOC111099152,0.546271032825672
LOC111099153,1.37181722140335
LOC111099154,0
LOC111099155,-0.557618624388552
LOC111099156,-0.0556394302742012
LOC111099157,-0.158138926451178
LOC111099158,0
LOC111099159,0
LOC111099160,0
LOC111099161,-0.156769492639863
LOC111099162,0
LOC111099163,0
LOC111099164,0
LOC111099165,0.949326788961853
LOC111099166,0
LOC111099167,0
LOC111099168,-0.158454549830581
LOC111099169,0.537724692635342
LOC111099170,0
LOC111099171,0
LOC111099172,1.84115576438709
LOC111099173,0.862421829882423
LOC111099174,0.312035657831026
LOC111099175,0.236930809608204
LOC111099176,0
LOC111099177,0.146220192433935
LOC111099178,0
LOC111099179,0
LOC111099180,1.47795125951653
LOC111099181,1.80375936681246
LOC111099182,2.09611389400781
LOC111099183,-1.5434262345041
LOC111099184,0
LOC111099185,0.609799559464307
LOC111099186,0.0709834555463192
LOC111099187,0.862414168546638
LOC111099188,0
LOC111099189,0
LOC111099190,0
LOC111099191,0
LOC111099192,0.519776943483805
LOC111099193,0
LOC111099194,1.03523321635238
LOC111099195,0
